state,city,zip_codes,latitude,longitude,id,name,review_count,categories,rating,price,high_value,agi_sum,aff_perc,count,affluent,has_tj,has_equinox,clusters
NY,New York,10017,40.75114,-73.97491,kctef59qqlzJNqAc1ZGEvg,The Capital Grille,804,"steak,seafood,wine_bars",4.0,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10001,40.74964,-73.98582,xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,1972,"korean,gastropubs,tapasmallplates",4.5,2,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10018,40.7500752,-73.9837835,bEXTA_Gwo2oVg4gnFd9fNA,Ai Fiori,1250,"italian,french,cocktailbars",4.0,4,2087031.0,2425716.0,0.8603773071538465,117,1,0,0,7
NY,New York,10018,40.75071,-73.98652,pQuZDnefX038xurT1BhDXA,Keens Steakhouse,2539,"steak,desserts,pubs",4.0,4,2087031.0,2425716.0,0.8603773071538465,117,1,0,0,7
NY,New York,10016,40.7454079308793,-73.9791478306885,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,964,"french,salad,breakfast_brunch",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.7473279523583,-73.9772017867971,jNRT5vY1Hvp5WDTaHy4Mhw,Sarge's Delicatessen & Diner,1138,"delis,sandwiches,breakfast_brunch",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10010,40.74195877796,-73.989716662832,a0IET3_yCFcO36OqGSsisg,Eataly NYC Flatiron,5471,"italian,grocery,cafes",4.0,2,3231398.0,4252196.0,0.759936277631605,55,1,1,1,7
NY,New York,10017,40.7523,-73.98043,bJgl6cDIBIMlgrntQbxt1g,Tomiz,1183,"japanese,desserts,cafes",4.0,1,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10016,40.7499225208569,-73.9819464127197,xq0cX_DgxiJMXwhmEl9kUA,Café China,1608,szechuan,4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.74519,-73.97918,xiwnLiNhSlEN4CDcurqsLQ,2nd Ave Deli,1215,"delis,kosher,sandwiches",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10036,40.7582662685627,-73.98654,U5hCNNyJmb7f3dmC1HTzSQ,Junior's Restaurant & Bakery - 45th St.,4587,"bakeries,breakfast_brunch,burgers",4.0,2,4610306.0,5666105.0,0.8136640602318523,187,1,0,1,7
NY,New York,10017,40.75122,-73.97317,Ms1p17KsYteDlkvHnllC2g,Soba Totto,897,"japanese,salad,bars",4.0,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10016,40.746737,-73.984662,xWUL-j6TQyKQHIfOtetu-Q,HanGawi,1153,"vegetarian,korean,vegan",4.0,3,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10022,40.75537,-73.97054,dtk1Cstz5MHr-B1AOM_nXA,Gyu-Kaku Japanese BBQ,1181,"japanese,bbq,asianfusion",4.0,3,10952261.0,12031917.0,0.9102673331273811,284,1,0,0,7
NY,New York,10016,40.7445,-73.98139,J38XGzriEkMsDfCMt6et_g,Vezzo,1282,"pizza,pastashops",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10001,40.74747,-73.98648,ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,2616,korean,4.0,1,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10016,40.749459,-73.982743,f7i6LxdwbDXExDn_58tXaA,The Ginger Man,1355,"bars,breweries",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.744509,-73.9856,raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,1898,italian,4.0,3,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10036,40.7574955824307,-73.9866844540098,22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,3751,"italian,catering,venues",4.0,2,4610306.0,5666105.0,0.8136640602318523,187,1,0,1,7
NY,New York,10001,40.747514,-73.986884,FZpm4_fbd6P984foOUejWg,Jongro BBQ,1925,"korean,bbq,beerbar",4.0,2,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10003,40.7303859,-73.9860613,jjJc_CrkB2HodEinB6cWww,LoveMama,4917,"thai,malaysian,vietnamese",4.5,2,7134107.0,8764798.0,0.8139499621097942,182,1,1,1,4
NY,New York,10018,40.75185,-73.98892,mESab-FqL5QqSVsnX72asQ,Zen Ramen & Sushi,1624,"sushi,ramen,salad",4.5,2,2087031.0,2425716.0,0.8603773071538465,117,1,0,0,7
NY,New York,10019,40.763167,-73.977131,x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,1871,indpak,4.5,2,5785799.0,7220520.0,0.8012994908953925,209,1,0,1,7
NY,New York,10019,40.76344,-73.98661,TN4RnyqHMSupRFot4Q-_EA,Ippudo Westside,3653,ramen,4.0,2,5785799.0,7220520.0,0.8012994908953925,209,1,0,1,7
NY,New York,10016,40.74371,-73.98152,NwrqmFGO-utVOG-eeDDuXg,Penelope,2115,"tradamerican,breakfast_brunch,newamerican",3.5,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10017,40.7555884,-73.9785483,Ucxhqn56VtC-eYjdNsg7Og,Vitae,778,"newamerican,wine_bars,venues",4.0,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10016,40.74531,-73.97753,1u_vkRFPuT8Aeh7Zk3bKyw,Galata Mediterranean Cuisine,348,"turkish,mediterranean,halal",4.5,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10001,40.74435,-73.98778,B55Ocx5RBWxo6AGSucYSIA,ilili,2377,"mediterranean,lebanese,cocktailbars",4.0,3,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10017,40.7535446865563,-73.9735724478504,ev6e12vhY_0y4qE1cRhv0A,Udon West Midtown,1019,"japanese,noodles",4.0,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10036,40.75641,-73.98547,5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,2075,italian,4.0,2,4610306.0,5666105.0,0.8136640602318523,187,1,0,1,7
NY,New York,10001,40.74519,-73.98824,TBp9gdS6xEbSQqffVZ7iag,KazuNori  | The Original Hand Roll Bar,909,"sushi,japanese",4.5,2,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10017,40.752583,-73.972274,_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,749,"tapasmallplates,izakaya",4.0,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10017,40.75433,-73.97277,z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,564,"italian,bars",4.5,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10016,40.747764735907,-73.9770407671092,xHBpwGzxxbC3vTahHWdABg,Perk Kafe,388,"coffee,bakeries",4.5,1,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.74534,-73.97761,BZcG-xN3DCxlfhckBZYeuw,Pio Pio 7,817,"latin,peruvian",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10017,40.75638,-73.97759,-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,1308,japanese,4.0,2,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10019,40.76444,-73.98759,QbAfrOxbuYKU248SDXHZEQ,Totto Ramen,5444,ramen,4.0,2,5785799.0,7220520.0,0.8012994908953925,209,1,0,1,7
NY,New York,10016,40.7474712051298,-73.9812423408763,LjBKkUSpMwrpo99hXgtHYw,Franchia Vegan Cafe,917,"korean,vegan,asianfusion",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10022,40.755136,-73.968683,dYm7DXMy1r8kCmKiz1MO8w,Crave Fishbar,716,"seafood,desserts,bars",4.0,3,10952261.0,12031917.0,0.9102673331273811,284,1,0,0,7
NY,New York,10036,40.755136,-73.982194,HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,1682,"chinese,burgers,noodles",4.0,1,4610306.0,5666105.0,0.8136640602318523,187,1,0,1,7
NY,New York,10001,40.7456663381275,-73.9880916348562,sSQ3dtC8nbfeT6srFiiIlA,Stumptown Coffee Roasters,1398,"coffee,coffeeroasteries",4.5,2,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10003,40.738085,-73.989472,dMhRafXdr765DHe0k-QfaQ,ABC Kitchen,2962,"newamerican,french",4.0,3,7134107.0,8764798.0,0.8139499621097942,182,1,1,1,7
NY,Long Island City,11109,40.7479520761447,-73.9570822404376,Hh9glEE_xDYT_pPUsRPXlA,Blend on the Water,3116,"latin,breakfast_brunch,lounges",4.0,2,420048.0,652092.0,0.6441545058059293,6,1,0,0,7
NY,New York,10017,40.749757387679,-73.975456614573,2IHGMQVQ7zmb89WyiiH1AQ,Zengo,1029,"latin,asianfusion",3.5,3,5233774.0,5902708.0,0.8866733709341543,152,1,0,0,7
NY,New York,10016,40.745296,-73.978073,IGZkGbwE36iE1yaDW5NNKA,The Flying Cock,542,"pubs,breakfast_brunch",4.0,2,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10016,40.7466818653462,-73.9820571484794,ikb5lhHmb2xndNZM-jr_Mw,Wolfgang's Steakhouse,961,steak,4.0,4,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
NY,New York,10001,40.7449,-73.988482,1z5Nu66M6W8mk5Ap4osZwA,The NoMad Restaurant,1463,"french,newamerican,gastropubs",4.0,3,1983127.0,2785807.0,0.7118680511607588,175,1,0,1,7
NY,New York,10016,40.74678,-73.98437,xe9qWNyYmsRvNGRPgW-ZcA,Dons Bogam BBQ & Wine Bar,990,"korean,bbq,wine_bars",4.0,3,6400951.0,8331163.0,0.768314219755393,197,1,1,1,7
